ticker,grupo
AGRI11,ETF
BBOV11,ETF
BRAZ11,ETF
DVER11,ETF
BBOI11,ETF
DOLA11,ETF
CORN11,ETF
BBSD11,ETF
TECX11,ETF
PKIN11,ETF
BREW11,ETF
IBOB11,ETF
ESGB11,ETF
DOLB11,ETF
SPXB11,ETF
GENB11,ETF
SMAB11,ETF
CMDB11,ETF
AUVP11,ETF
TIRB11,ETF
BRXC11,ETF
QQQQ11,ETF
QQQI11,ETF
COIN11,ETF
FIXX11,ETF
CASA11,ETF
IWMI11,ETF
SPYI11,ETF
XBOV11,ETF
GLDX11,ETF
TRIG11,ETF
BDEF11,ETF
BMMT11,ETF
BCIC11,ETF
BOVB11,ETF
PEVC11,ETF
JOGO11,ETF
USTK11,ETF
SVAL11,ETF
CHIP11,ETF
WRLD11,ETF
GPUS11,ETF
BDOM11,ETF
BXPO11,ETF
SCVB11,ETF
ALUG11,ETF
NUCL11,ETF
BIZD11,ETF
SMAL11,ETF
CAPE11,ETF
EWBZ11,ETF
BOVA11,ETF
BRAX11,ETF
ECOO11,ETF
IVVB11,ETF
B3BR11,ETF
BOVV11,ETF
DIVO11,ETF
DIVD11,ETF
FIND11,ETF
GOVE11,ETF
MATB11,ETF
MILL11,ETF
HTEK11,ETF
TECK11,ETF
PIBB11,ETF
REVE11,ETF
SPXR11,ETF
YDRO11,ETF
SPXI11,ETF
SMAC11,ETF
NSDV11,ETF
HIGH11,ETF
LVOL11,ETF
NBOV11,ETF
NDIV11,ETF
SPUB11,ETF
SPVT11,ETF
BOVS11,ETF
ELAS11,ETF
ISUS11,ETF
ACWI11,ETF
XINA11,ETF
UTEC11,ETF
USAL11,ETF
URET11,ETF
BOVX11,ETF
GOLD11,ETF
ESGU11,ETF
NASD11,ETF
AFHI11,FII
AFHF11,FII
ATWN11,FII
AJFI11,FII
ALZC11,FII
MTOF11,FII
ALZR11,FII
AURB11,FII
APXM11,FII
APXU11,FII
AIEC11,FII
AROA11,FII
EIRA11,FII
ARTE11,FII
ARXD11,FII
AZPE11,FII
AZPL11,FII
CEBB11,FII
BCRI11,FII
BNFS11,FII
BTML11,FII
BZEL11,FII
BPDR11,FII
BPLC11,FII
BPMW11,FII
BBFO11,FII
BBFI11,FII
BBIG11,FII
BBRC11,FII
BINR11,FII
BGRB11,FII
BLOG11,FII
BLMG11,FII
BMLC11,FII
BRSE11,FII
BCIA11,FII
BVAR11,FII
CARE11,FII
FATN11,FII
RTEL11,FII
BRCD11,FII
BRCO11,FII
BICE11,FII
BIME11,FII
BRIM11,FII
BRIP11,FII
BIPD11,FII
BIPE11,FII
BROF11,FII
BETW11,FII
LLAO11,FII
BTHR11,FII
BTHI11,FII
BTAL11,FII
BRCR11,FII
BTCI11,FII
BTLG11,FII
BTHF11,FII
BPML11,FII
BTRA11,FII
BTYU11,FII
BTWR11,FII
BTSG11,FII
BTSI11,FII
CXCO11,FII
CXRI11,FII
CRFF11,FII
CCME11,FII
CCVA11,FII
CPUR11,FII
CPLG11,FII
CPOF11,FII
CPFF11,FII
CPHH11,FII
CPTS11,FII
CPSH11,FII
CACR11,FII
CBOP11,FII
BLCA11,FII
CNES11,FII
CDHY11,FII
CTXT11,FII
CENU11,FII
CFHI11,FII
CFII11,FII
CJCT11,FII
CIXM11,FII
CIXF11,FII
CLIN11,FII
CSMC11,FII
RENV11,FII
IBCR11,FII
CVPR11,FII
CYCR11,FII
CYLD11,FII
DAMA11,FII
DAYM11,FII
ASRF11,FII
DLMT11,FII
DPRO11,FII
DEVA11,FII
DAMT11,FII
DOVL11,FII
EDGE11,FII
EMET11,FII
EGYR11,FII
EQIR11,FII
ERCR11,FII
ERPA11,FII
KEVE11,FII
EXES11,FII
FLCR11,FII
FARU11,FII
VRTA11,FII
VRTM11,FII
FTRE11,FII
ANCR11,FII
FLMA11,FII
EGDB11,FII
ELDO11,FII
EURO11,FII
HYPI11,FII
HRES11,FII
FMOF11,FII
OPTM11,FII
ALMI11,FII
FLNR11,FII
JCIN11,FII
HLMB11,FII
KFOF11,FII
CVBI11,FII
BLUR11,FII
DVFF11,FII
FAED11,FII
BPFF11,FII
FCFL11,FII
CEOC11,FII
FAMB11,FII
EDGA11,FII
FYTO11,FII
HCRI11,FII
NSLU11,FII
MAXR11,FII
NVHO11,FII
PQDP11,FII
RBRI11,FII
RDIV11,FII
RBRR11,FII
RECR11,FII
RECT11,FII
SHDP11,FII
SAIC11,FII
TRNT11,FII
APXR11,FII
BRHT11,FII
CXAG11,FII
CXCI11,FII
CXCE11,FII
CXTL11,FII
IDUA11,FII
LKDV11,FII
EDFO11,FII
GTWR11,FII
HBCR11,FII
HUCG11,FII
HUSC11,FII
HOSI11,FII
FIIB11,FII
FINF11,FII
IRDM11,FII
BLUE11,FII
MMPD11,FII
MCCI11,FII
OULG11,FII
WTSP11,FII
PABY11,FII
VTPA11,FII
FPNG11,FII
VTPL11,FII
ESTQ11,FII
VPSI11,FII
RBRY11,FII
PULV11,FII
RBRP11,FII
RELG11,FII
RBOP11,FII
RBVA11,FII
RNGO11,FII
RZTR11,FII
ROOF11,FII
HOMS11,FII
FISC11,FII
SMRE11,FII
SOFF11,FII
SPVJ11,FII
TRBL11,FII
TGAR11,FII
